GEOID20,District
060855106002003,6
060855109002014,5
060855116091009,3
060855110001005,2
060855108031004,1
060855116091022,3
060855110001004,2
060855109002009,5
060855106003006,6
060855108012006,1
060855093041004,2
060855109002018,5
060855107003021,6
060855115012018,5
060855115013002,5
060855117072017,6
060855108012010,1
060855117051048,6
060855113024001,4
060855113021024,3
060855107003020,6
060855107001005,5
060855110003002,2
060855114001013,5
060855115011023,5
060855109001020,2
060855113022013,3
060855106003003,6
060855110005005,2
060855114001011,5
060855106002019,6
060855112001011,4
060855112001021,4
060855046011036,2
060855116091012,3
060855107002002,5
060855110001000,2
060855107003002,6
060855108032011,1
060855113021016,3
060855113011034,4
060855115013018,5
060855110003004,2
060855117072008,6
060855110005002,1
060855117051034,6
060855116091003,3
060855114001010,3
060855113022016,3
060855113011037,4
060855113013019,4
060855046011040,2
060855113011021,4
060855117051016,6
060855109001012,2
060855110005000,2
060855114004001,3
060855114003010,5
060855113022007,4
060855110001009,3
060855114003002,2
060855115011006,5
060855108022007,1
060855111003004,3
060855108021004,1
060855114002016,5
060855108022013,1
060855109002020,5
060855107003014,6
060855112001015,4
060855113021025,4
060855113011039,3
060855111004011,3
060855108032002,1
060855108011011,1
060855115013001,5
060855094011006,6
060855109003008,1
060855109003013,5
060855111001007,2
060855113011013,3
060855113023009,3
060855113011029,4
060855114004000,3
060855107001008,5
060855115011020,5
060855108032005,1
060855106002001,6
060855107003015,6
060855117011006,6
060855111004003,3
060855113013014,4
060855115011000,5
060855115011021,5
060855107001027,5
060855115013005,5
060855114004029,2
060855108032001,1
060855112003003,4
060855115012022,5
060855106003009,6
060855114004016,5
060855114001017,5
060855106004002,6
060855115013014,5
060855114003007,5
060855110005004,2
060855113021008,3
060855108031006,1
060855109001015,2
060855110002000,3
060855109002012,5
060855111002003,3
060855113024002,3
060855046011058,2
060855112004008,3
060855113011017,3
060855108021005,1
060855114001001,3
060855110001002,2
060855112001026,4
060855113021007,3
060855113013016,4
060855106002012,6
060855113013000,4
060855113024013,3
060855108031000,1
060855113021009,3
060855113012000,4
060855111002008,3
060855112004013,3
060855112001004,4
060855108022008,1
060855115011013,5
060855046011063,2
060855115013024,5
060855046011049,2
060855107001010,5
060855113024014,3
060855112002012,4
060855117051056,6
060855117072022,6
060855109001014,2
060855113022017,3
060855046011091,2
060855111001005,4
060855109003018,1
060855107002009,6
060855115012030,5
060855110003005,2
060855112001024,4
060855113013007,4
060855115012021,5
060855117051015,6
060855113011024,4
060855114002012,5
060855114001009,3
060855114002003,2
060855111002007,4
060855107001023,5
060855112001020,4
060855116091019,3
060855117051004,5
060855107003023,6
060855113013018,4
060855115013000,5
060855110005001,1
060855113013013,4
060855117072055,6
060855112003002,4
060855114002004,2
060855113023007,3
060855115013025,5
060855116091004,3
060855114001007,3
060855108011012,1
060855107001025,5
060855116091018,3
060855116081003,3
060855106002000,6
060855113011033,5
060855106004001,6
060855113021022,3
060855113021002,4
060855116091008,3
060855115012006,5
060855112002009,4
060855106002017,6
060855093041002,2
060855108011008,1
060855112001025,4
060855113012004,4
060855107001018,5
060855113023012,3
060855046011044,2
060855093041029,2
060855109003005,1
060855046011082,2
060855107003016,6
060855107001003,5
060855117051040,6
060855117051000,5
060855115012026,5
060855110002007,2
060855107003022,6
060855109002015,5
060855110004013,2
060855114002002,2
060855093041008,2
060855114001004,3
060855115012002,5
060855112002015,4
060855113022006,4
060855111004005,3
060855107003019,6
060855111004008,3
060855112004005,4
060855110004009,2
060855114001014,3
060855108012000,1
060855111004000,3
060855094012008,6
060855112003005,4
060855130006000,3
060855115012019,5
060855115013015,5
060855109002001,1
060855117051021,6
060855108014002,2
060855116091013,3
060855110001006,3
060855111002005,3
