GEOID20,District
060855116091004,1
060855114001007,1
060855108011012,4
060855107001025,2
060855116091018,1
060855116081003,1
060855106002000,2
060855113011033,1
060855106004001,2
060855113021022,1
060855113021002,6
060855116091008,1
060855115012006,3
060855112002009,5
060855106002017,2
060855093041002,4
060855108011008,4
060855112001025,6
060855113012004,1
060855107001018,3
060855113023012,1
060855046011044,5
060855093041029,4
060855109003005,4
060855046011082,5
060855107003016,2
060855107001003,3
060855117051040,2
060855117051000,3
060855115012026,3
060855110002007,6
060855107003022,2
060855109002015,4
060855110004013,6
060855114002002,3
060855093041008,4
060855114001004,1
060855115012002,3
060855112002015,5
060855113022006,1
060855111004005,5
060855107003019,2
060855111004008,5
060855112004005,5
060855110004009,6
060855114001014,3
060855108012000,4
060855111004000,5
060855094012008,2
060855112003005,1
060855130006000,1
060855115012019,3
060855115013015,3
060855109002001,6
060855117051021,2
060855108014002,4
060855116091013,1
060855110001006,5
060855111002005,5
060855112001008,6
060855112004022,5
060855112001017,5
060855113011028,6
060855111002013,5
060855117072003,2
060855117051029,2
060855117011020,2
060855117051022,2
060855116091020,1
060855117051041,2
060855108011007,6
060855117072004,2
060855115012011,3
060855109001009,3
060855106002015,2
060855111001013,5
060855113021010,6
060855113022019,6
060855109003009,4
060855113024005,6
060855114002008,3
060855106001003,2
060855111004019,3
060855106004000,2
060855107003011,2
060855107003004,2
060855111001003,5
060855110001001,5
060855106003007,2
060855117072006,2
060855115011010,3
060855108012007,4
060855107003005,2
060855113013002,1
060855106003000,2
060855114004026,3
060855108012021,4
060855114004015,3
060855110003006,6
060855117051019,2
060855108012012,4
060855117051039,2
060855113011020,1
060855115012007,3
060855112001005,5
060855110005006,6
060855113021020,1
060855111003003,5
060855113012005,1
060855113022003,6
060855112004000,5
060855115011012,3
060855113022000,6
060855114004004,3
060855107003006,2
060855113011032,1
060855093041000,4
060855107002000,3
060855112003008,1
060855110005010,6
060855106003008,2
060855113021003,6
060855117051018,2
060855112004019,5
060855114001012,1
060855111004001,5
060855112004014,5
060855109002007,4
060855110004003,6
060855114002006,1
060855115012001,3
060855114002001,3
060855108031003,4
060855111002000,5
060855115013012,3
060855108012011,4
060855117072021,2
060855108022004,4
060855108031008,4
060855107001001,3
060855114003005,3
060855106003001,2
060855113022011,1
060855110004001,6
060855117051037,2
060855106003012,2
060855107002001,2
060855046011064,5
060855106002011,2
060855106003014,2
060855117072023,2
060855113011007,5
060855115011005,1
060855116081002,1
060855113011015,1
060855106001005,3
060855094011001,2
060855109001017,3
060855112002003,1
060855113022002,6
060855108022001,4
060855107001011,3
060855113011025,1
060855112001013,6
060855106002004,2
060855108013003,4
060855106003002,2
060855116091016,1
060855106002005,2
060855112002017,1
060855112001003,5
060855114003004,3
060855116081007,1
060855110001007,5
060855046011000,5
060855113021021,6
060855111001016,5
060855113024011,6
060855107003017,2
060855046011047,5
060855112002014,5
060855112002000,5
060855114004022,3
060855109001005,6
060855117051057,2
060855113021006,6
060855115011022,3
060855117051011,3
060855108031005,4
060855107001016,3
060855108031011,4
060855117051017,2
060855113023001,6
060855117051009,3
060855115012009,3
060855113013017,6
060855108013006,4
060855114004012,3
060855094012010,2
060855113021018,6
060855108012014,4
060855111001002,5
060855112002002,6
060855046011041,5
060855108031010,4
060855110004010,6
060855111004015,5
060855111001006,5
060855108032009,4
060855111003000,5
060855113021019,6
060855111001010,5
060855112004011,5
060855109003012,4
060855115013009,3
060855115013020,3
060855110004007,6
060855117051014,2
060855109001011,3
060855112001016,5
060855112004007,5
060855113011027,6
060855112002005,1
060855109003007,4
060855106003013,2
060855115013004,3
060855111004013,5
060855112004002,5
060855113021023,1
060855116091000,1
060855113022004,1
060855093041023,4
060855113024010,1
060855115012003,3
060855110001008,5
060855108011014,4
060855115012004,3
060855111001001,5
060855111003007,5
060855094012005,2
060855113022014,6
060855111004010,5
060855112002008,5
060855111004006,5
060855108022015,4
060855112001012,6
060855116091006,1
060855109001003,3
060855108022009,4
060855110005009,6
060855116091002,1
060855115013021,3
060855113011001,1
060855113011036,1
060855112003000,5
060855109001001,3
060855113021001,6
060855046011057,5
060855110003003,6
060855108012003,4
060855113023005,6
060855114001016,1
060855046011039,5
060855107001013,3
060855111001014,5
060855115013008,3
060855107003000,2
060855113011035,6
060855112004003,5
060855115013013,3
060855108012016,4
060855113011012,1
060855114004025,3
060855114001000,5
060855110002005,6
060855117051054,2
060855114004009,3
060855113011022,1
060855117072054,2
060855109001024,3
060855112004016,5
060855106001001,2
060855115013003,3
060855110002008,6
060855112002016,1
060855114002015,1
060855109003017,4
060855112004021,5
060855106001004,2
060855106002008,2
060855109003004,4
060855093022008,4
060855107001004,3
060855108032007,4
060855112001006,6
060855107001000,3
060855113012001,1
060855113021014,6
060855112003007,1
060855106001002,2
060855109002010,3
060855109001013,3
060855114004032,3
060855093022001,4
060855115011001,1
060855111004012,5
060855109002006,3
060855113012002,1
060855108013001,4
060855107002004,2
060855107001009,3
060855106002007,2
060855111004002,5
060855113024009,1
060855109002000,6
060855108022002,4
060855107001019,3
060855112002006,5
060855114002011,1
060855107001007,3
060855046011059,5
060855108032006,4
060855108032010,4
060855109002008,3
060855117072095,2
060855107001021,2
060855117011000,2
060855113022009,1
060855117051001,3
060855112004004,5
060855114001005,1
060855117051006,3
060855107001015,3
060855113012006,1
060855107002008,2
060855112004018,5
060855114004018,3
060855113024006,6
060855113013008,6
060855114002000,5
060855117051007,3
060855114002009,3
060855112004020,1
060855046011062,5
060855113011000,1
060855112004009,5
060855116091007,1
060855116091021,1
060855111001015,5
060855106002013,2
060855109001008,3
060855111003005,5
060855117051008,3
060855107002007,2
060855110002006,6
060855115013019,3
060855117072011,2
060855106001006,2
060855106002018,2
060855111003006,5
060855106002016,2
060855112001007,6
060855110004005,6
060855108022012,4
060855115011016,3
060855114004023,3
060855114004013,3
060855106003010,2
060855113024008,6
060855094012002,2
060855113024004,6
060855109002004,3
060855115012013,3
060855110003001,6
060855109001002,3
060855114001006,1
060855114001015,3
060855108012015,4
