GEOID20,District
060855113024003,6
060855110002001,6
060855109002011,3
060855115012016,3
060855117072007,2
060855108013004,4
060855113021011,6
060855113013001,1
060855113012009,1
060855108032012,4
060855093022017,4
060855110002004,6
060855114002007,3
060855108011001,6
060855115011019,3
060855115011004,3
060855113021004,6
060855108021002,4
060855093022007,4
060855108011010,4
060855112004017,5
060855109003001,4
060855108012004,4
060855116091030,1
060855113023003,6
060855116081004,1
060855112002010,1
060855108012020,4
060855113013003,1
060855109001004,3
060855111002010,5
060855107003018,2
060855111004016,5
060855113023010,1
060855111004014,5
060855113011018,1
060855115012014,3
060855114004030,3
060855111004007,5
060855106001000,2
060855113021013,6
060855106003004,2
060855115011024,3
060855109003019,4
060855113021012,6
060855106003005,2
060855112003009,1
060855111003001,5
060855114004028,3
060855046011042,5
060855113013005,1
060855108022011,4
060855113011023,1
060855113013009,6
060855110003000,5
060855115012033,3
060855114002005,5
060855115013017,3
060855109003011,4
060855108014005,4
060855107001006,3
060855113012010,1
060855111002001,5
060855113012003,1
060855109002019,3
060855109002003,4
060855117051023,2
060855114004008,3
060855116091023,1
060855108022006,4
060855093041001,4
060855113021000,6
060855107003013,2
060855115011009,3
060855113022012,6
060855117072009,2
060855108032000,4
060855113011002,1
060855115012017,3
060855111001009,5
060855112001018,6
060855117072050,2
060855112003004,1
060855113012008,1
060855116091024,1
060855115012005,3
060855046011043,5
060855112001000,5
060855046011050,5
060855114004033,3
060855108021007,4
060855110005003,6
060855113022001,6
060855110002002,5
060855115013010,3
060855112004010,5
060855108032004,4
060855110004008,6
060855116091015,1
060855110002009,6
060855109003002,4
060855109003003,4
060855108011005,6
060855112002004,1
060855046011046,5
060855130006003,1
060855115011008,1
060855107003024,2
060855113022020,1
060855112001009,6
060855115013007,3
060855113021017,6
060855107002006,2
060855108013002,4
060855117072032,2
060855108012008,4
060855114003008,3
060855114004011,3
060855117051028,2
060855117011005,2
060855107003003,2
060855113011038,1
060855111002006,5
060855113022015,6
060855107003012,2
060855107001020,2
060855113011005,5
060855112001019,6
060855046011045,5
060855117051002,3
060855117011011,2
060855107003010,2
060855108032008,4
060855115012012,3
060855111001000,5
060855108012009,4
060855117072019,2
060855110004015,6
060855110005007,6
060855108012005,4
060855115011002,1
060855112002013,5
060855114002010,1
060855112001002,5
060855108011013,6
060855113023000,6
060855113022005,1
060855111004009,5
060855115012023,3
060855113011030,1
060855115011003,1
060855113011008,5
060855108031007,4
060855106004005,2
060855113023006,6
060855117011002,2
060855093022000,4
060855115013011,3
060855113013006,6
060855110002011,6
060855116091031,1
060855113024007,6
060855109002017,4
060855114004002,3
060855046011056,5
060855115012008,3
060855112004015,5
060855108011004,6
060855108011009,4
060855046011051,5
060855107001002,3
060855110004014,6
060855109001007,6
060855093022013,4
060855046011038,5
060855117011023,2
060855115013006,3
060855108013007,4
060855109001021,3
060855110001003,6
060855108021001,4
060855115011015,3
060855109001016,3
060855108014001,4
060855106002002,2
060855109003010,4
060855108012019,4
060855114004024,3
060855107003001,2
060855114004003,3
060855108031002,4
060855113024012,6
060855108011003,6
060855109001000,3
060855113013010,6
060855115013022,3
060855130006005,1
060855110004004,6
060855112001001,5
060855113012007,1
060855114001002,5
060855112002001,5
060855114004031,3
060855113011004,5
060855114004010,3
060855113011031,1
060855111002004,5
060855111003008,5
060855108014004,4
060855110004000,6
060855108021003,4
060855108012001,4
060855115012015,3
060855046011090,5
060855112003001,1
060855115012010,3
060855113013015,6
060855113023004,6
060855108012013,4
060855113022008,6
060855111004018,5
060855108011002,6
060855108031009,4
060855112003006,1
060855111004017,5
060855108022010,4
060855117072013,2
060855117051020,2
060855116091032,1
060855116091010,1
060855108031001,4
060855113011016,1
060855115012000,3
060855107003007,2
060855113022010,1
060855114004020,3
060855093041003,4
060855113011019,1
060855106004003,2
060855115011014,3
060855113013012,1
060855114003000,5
060855106002009,2
060855117051003,3
060855117051010,3
060855113021005,6
060855112004023,5
060855115012020,3
060855108011006,6
060855108012017,4
060855110004012,5
060855113023008,6
060855109003014,4
060855115012027,3
060855116091017,1
060855112002011,1
060855107001014,3
060855114001008,1
060855111003009,5
060855108021006,4
060855112004006,5
060855114004005,3
060855117072014,2
060855115012024,3
060855117011009,2
060855107002011,2
060855109001018,3
060855116091014,1
060855113022018,6
060855115011017,3
060855109002013,4
060855117072052,2
060855109001010,3
060855117051013,2
060855117072018,2
060855116091033,1
060855113013004,1
060855112001014,6
060855115012032,3
060855107001012,3
060855115013023,3
060855113011010,5
060855108032013,4
060855106003011,2
060855111001011,5
060855107002005,3
060855106004004,2
060855109001019,3
060855117051005,3
060855113013011,1
060855108012018,4
060855114004021,3
060855107001024,2
060855107001026,3
060855046011048,5
060855107001022,2
060855116091026,1
060855108014000,4
060855113011003,5
060855110004011,6
060855111002009,5
060855111002011,5
060855114001003,1
060855115011018,3
060855109002016,3
060855109003000,4
060855114004017,3
060855107003008,2
060855046011035,5
060855116091005,1
060855109003016,3
060855111001012,5
060855114004007,3
060855116091025,1
060855111001008,5
060855111002002,5
060855114003003,3
060855109001006,6
060855116091029,1
060855114004006,3
060855107003009,2
060855107002010,2
060855109002005,3
060855113021015,6
060855115012029,3
060855115011011,3
060855117072053,2
060855114002013,1
060855113011011,1
060855111004004,5
060855108021000,4
060855108013005,4
060855110004006,6
060855115012028,3
060855106002006,2
060855110005008,6
060855112001010,6
060855109003006,4
060855114003006,3
060855115012025,3
060855108022000,4
060855113023002,6
060855113023011,1
060855112004001,5
060855106002014,2
060855112002007,5
060855108032003,4
060855106002010,2
060855108022005,4
060855109002002,6
060855110004002,6
060855108011000,5
060855115013016,3
060855111003002,5
060855117072029,2
060855113011009,1
060855114004019,3
060855114002014,3
060855108013000,4
060855107001017,3
060855114004027,3
060855117011004,2
060855111001004,5
060855115012031,3
060855112001027,6
060855112001023,6
060855117051038,2
060855109001023,3
060855111002012,5
060855094012004,2
060855107002003,3
060855114002017,3
060855115011007,1
060855112004012,5
060855108014003,4
060855108022003,4
060855108012002,4
060855117051012,3
060855113011026,6
060855046011052,5
060855112001022,6
060855114003009,3
060855109001022,3
060855113011006,5
060855113011014,1
060855094012001,2
060855113024000,6
060855109003015,3
060855116091001,1
060855114003001,3
060855107001028,2
060855114002018,3
060855117072051,2
060855110002003,5
060855116091011,1
060855111001017,5
060855110002010,6
060855114004014,3
060855117011001,2
060855106002003,2
060855109002014,4
060855116091009,1
060855110001005,5
060855108031004,4
060855116091022,1
060855110001004,5
060855109002009,3
060855106003006,2
060855108012006,4
060855093041004,4
060855109002018,4
060855107003021,2
060855115012018,3
060855115013002,3
060855117072017,2
060855108012010,4
060855117051048,2
060855113024001,6
060855113021024,1
060855107003020,2
060855107001005,3
060855110003002,6
060855114001013,1
060855115011023,3
060855109001020,3
060855113022013,6
060855106003003,2
060855110005005,6
060855114001011,1
060855106002019,2
060855112001011,6
060855112001021,6
060855046011036,5
060855116091012,1
060855107002002,2
060855110001000,5
060855107003002,2
060855108032011,4
060855113021016,6
060855113011034,1
060855115013018,3
060855110003004,6
060855117072008,2
060855110005002,6
060855117051034,2
060855116091003,1
060855114001010,1
060855113022016,6
060855113011037,1
060855113013019,1
060855046011040,5
060855113011021,1
060855117051016,2
060855109001012,3
060855110005000,6
060855114004001,3
060855114003010,3
060855113022007,6
060855110001009,5
060855114003002,3
060855115011006,1
060855108022007,4
060855111003004,5
060855108021004,4
060855114002016,1
060855108022013,4
060855109002020,3
060855107003014,2
060855112001015,6
060855113021025,6
060855113011039,1
060855111004011,5
060855108032002,4
060855108011011,4
060855115013001,3
060855094011006,2
060855109003008,4
060855109003013,4
060855111001007,5
060855113011013,1
060855113023009,6
060855113011029,1
060855114004000,5
060855107001008,3
060855115011020,3
060855108032005,4
060855106002001,2
060855107003015,2
060855117011006,2
060855111004003,5
060855113013014,1
060855115011000,1
060855115011021,3
060855107001027,2
060855115013005,3
060855114004029,3
060855108032001,4
060855112003003,1
060855115012022,3
060855106003009,2
060855114004016,3
060855114001017,1
060855106004002,2
060855115013014,3
060855114003007,3
060855110005004,6
060855113021008,6
060855108031006,4
060855109001015,3
060855110002000,6
060855109002012,3
060855111002003,5
060855113024002,6
060855046011058,5
060855112004008,5
060855113011017,1
060855108021005,4
060855114001001,1
060855110001002,5
060855112001026,6
060855113021007,6
060855113013016,6
060855106002012,2
060855113013000,1
060855113024013,6
060855108031000,4
060855113021009,6
060855113012000,6
060855111002008,5
060855112004013,5
060855112001004,5
060855108022008,4
060855115011013,3
060855046011063,5
060855115013024,3
060855046011049,5
060855107001010,3
060855113024014,6
060855112002012,1
060855117051056,2
060855117072022,2
060855109001014,3
060855113022017,6
060855046011091,5
060855111001005,5
060855109003018,4
060855107002009,2
060855115012030,3
060855110003005,6
060855112001024,6
060855113013007,6
060855115012021,3
060855117051015,2
060855113011024,1
060855114002012,1
060855114001009,1
060855114002003,3
060855111002007,5
060855107001023,2
060855112001020,6
060855116091019,1
060855117051004,3
060855107003023,2
060855113013018,6
060855115013000,3
060855110005001,6
060855113013013,1
060855117072055,2
060855112003002,1
060855114002004,3
060855113023007,6
060855115013025,3
